Total Points,Best Ratio (Default),Min Error (Default),Best Ratio (Residual),Min Error (Residual),Best Ratio (Boundary Residual),Min Error (Boundary Residual),Best Ratio (Max of Res & BRes),Min Error (Max of Res & BRes)
100,0.4,0.002363045146518035,0.0,0.673056228713393,0.7,1.0729722881880344e-05,0.0,0.673056228713393
200,0.4,0.00011055297941531261,0.0,0.028870999527550012,0.6,1.0284427545970143e-06,0.1,0.06378087054101922
300,0.4,9.696240383480492e-06,0.0,0.003277785806543143,0.7,1.15314384316334e-06,0.1,0.012133311583998996
400,0.4,1.0214987894135996e-05,0.0,0.0008343073172117226,0.8,1.1563134464098734e-06,0.1,0.00598603963486255
500,0.2,9.893874774236089e-06,0.0,0.0008707899541267476,0.7,1.1035580220197794e-06,0.1,0.002659433761890817
600,0.2,7.110939834825691e-06,0.1,0.0006563873347911198,0.8,9.428461012761513e-07,0.1,0.0006563873347911198
700,0.4,5.5645836866402565e-06,0.2,0.0006771328866967963,0.8,7.80318005405567e-07,0.2,0.0006771328866967963
800,0.5,5.294544250494804e-06,0.3,0.0006809841169239661,0.9,6.999424911613428e-07,0.3,0.0006809841169239661
900,0.5,4.525898050639077e-06,0.4,0.0006590136776001287,0.9,7.666911599757409e-07,0.4,0.0006590136776001287
1000,0.6,4.027247966581493e-06,0.1,0.0006072531056052082,0.9,6.088411922122727e-07,0.1,0.0006072531056052082
1100,0.6,3.927343671245032e-06,0.1,0.0005990060695840054,0.9,6.185543682535322e-07,0.1,0.0005990060695840054
1200,0.6,5.463608461292457e-06,0.1,0.0005981670789115139,0.9,5.73812970111609e-07,0.1,0.0005981670789115139
1300,0.7,3.815747247420953e-06,0.1,0.0005636353695226841,0.9,5.310350573439759e-07,0.1,0.0005636353695226841
1400,0.7,2.027543389709896e-06,0.2,0.000561413583105617,0.9,5.913751706942971e-07,0.2,0.000561413583105617
1500,0.7,2.9973367944025053e-06,0.2,0.0005646848536489539,0.9,6.708355343165717e-07,0.2,0.0005646848536489539
1600,0.7,3.7961720252555065e-06,0.1,0.0005536486811397603,0.9,7.590308682692282e-07,0.1,0.0005536486811397603
1700,0.7,3.81921475564595e-06,0.3,0.0005783773327639334,0.9,1.104671214585684e-06,0.3,0.0005783773327639334
1800,0.7,3.4969978358334597e-06,0.2,0.0005582068357544028,0.9,1.430254584877666e-06,0.2,0.0005582068357544028
1900,0.8,5.014296873190327e-06,0.3,0.0005742351591980092,1.0,1.3785383700393172e-06,0.3,0.0005742351591980092
2000,0.8,1.8852958575676926e-06,0.2,0.0005669849875776105,1.0,1.0871425054903572e-06,0.2,0.0005669849875776105
