Total Points,Best Ratio (Default),Min Error (Default),Best Ratio (Residual),Min Error (Residual),Best Ratio (Boundary Residual),Min Error (Boundary Residual),Best Ratio (Max of Res & BRes),Min Error (Max of Res & BRes)
100,0.3,2.4978424765648155e-06,0.2,0.0004986141246918763,1.0,3.459432740271495e-11,0.2,0.0004986141246918763
200,0.2,7.067934727615112e-11,0.2,6.62711970994545e-08,1.0,1.4629186750880763e-11,0.2,6.62711970994545e-08
300,0.4,5.76061420787255e-12,0.2,2.1170976083340065e-10,0.5,4.974354261833014e-12,0.2,2.1170976083340065e-10
400,0.5,3.1269431488567534e-12,0.2,4.0740744111644744e-11,0.5,2.9855007355195085e-12,0.2,4.0740744111644744e-11
500,0.5,2.4263924203182796e-12,0.1,1.5786483231750026e-11,0.6,2.258748743599881e-12,0.1,1.6628920462835595e-11
600,0.6,2.0495827257605015e-12,0.2,2.62545540863357e-12,0.7,1.521782699853702e-12,0.2,5.612954545597404e-12
700,0.7,1.3564704914870163e-12,0.1,1.5409895581797173e-12,0.7,1.2779777236460177e-12,0.2,4.547473508864641e-12
800,0.7,1.0721423748805137e-12,0.1,1.3145040611561853e-12,0.7,1.0738077094174514e-12,0.3,3.782751889502833e-12
900,0.7,9.57900425646585e-13,0.2,1.0942358130705543e-12,0.7,9.57900425646585e-13,0.3,2.333244708552229e-12
1000,0.6,9.234835118832052e-13,0.2,6.785683126508957e-13,0.8,8.706368959110478e-13,0.5,2.1387336346379016e-12
1100,0.8,7.222000775186643e-13,0.2,1.0089706847793423e-12,0.8,7.228662113334394e-13,0.6,2.0605739337042905e-12
1200,0.8,6.907807659217724e-13,0.2,6.608047442568932e-13,0.8,6.907807659217724e-13,0.4,1.2602141552520152e-12
1300,0.8,6.020739462542224e-13,0.1,8.171241461241152e-13,0.8,6.032951915813101e-13,0.5,9.511280651963716e-13
1400,0.8,5.166977956605479e-13,0.1,5.169198402654729e-13,0.8,5.176969963827105e-13,0.4,1.1368683772161603e-12
1500,0.8,4.826139488045555e-13,0.1,5.826450433232822e-13,0.8,4.835021272242557e-13,0.5,9.32254273777744e-13
1600,0.8,4.4275694222051243e-13,0.1,5.897504706808832e-13,0.8,4.4353409833775004e-13,0.4,9.516831767086842e-13
1700,0.8,4.226619054747971e-13,0.1,6.039613253960852e-13,0.8,4.2310599468464716e-13,0.6,1.0818013151947525e-12
1800,0.8,4.0478731477833207e-13,0.2,3.7836400679225335e-13,0.9,3.93796106834543e-13,0.5,7.460698725481052e-13
1900,0.8,3.79585252119341e-13,0.1,5.968558980384842e-13,0.9,3.5571545708990016e-13,0.4,9.335865414072941e-13
2000,0.8,3.7403413699621524e-13,0.2,4.227729277772596e-13,0.9,3.249622793077833e-13,0.3,9.353628982466944e-13
